closetCleaner ignored Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 Orblight |          0 |                 Safe |                                                                                          |                                                     orblight
             Portafurnace |          0 |              Satchel |                                                                                          |                                                 portafurnace
             Guild Flyers |          0 |                 Safe |                                                                                          |                                          set of guild flyers
              Wastebasket |          0 |                 Safe |                                                                                          |                                                  wastebasket
                Ram Staff |          0 |             Wardrobe |                                                                                          |                                                    Ram staff
          Storage Slip 08 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 08
                Bookshelf |          0 |                 Safe |                                                                                          |                                                    bookshelf
            Red Curry Bun |          0 |            Inventory |                                                                                          |                                                red curry bun
          Yel. VCS Plaque |          0 |                 Safe |                                                                                          |                                            yellow VCS plaque
            Toolbag (Ino) |          0 |                 Case |                                                                                          |                                    toolbag (inoshishinofuda)
               Maat's Cap |          0 |           Wardrobe 3 |                                                                                          |                                                   Maat's cap
             Fourth Staff |          0 |             Wardrobe |                                                                                          |                                                 Fourth staff
          Storage Slip 02 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 02
             Rounsey Wand |          0 |           Wardrobe 3 |                                                                                          |                                                 rounsey wand
       Kgd. Stable Collar |          0 |           Wardrobe 3 |                                                                                          |                                       Kingdom stables collar
               Trump Card |          0 |              Satchel |                                                                                          |                                                   trump card
       Carpenter's Gloves |          0 |           Wardrobe 3 |                                                                                          |                                           carpenter's gloves
         San d'Orian Flag |          0 |                 Safe |                                                                                          |                                             San d'Orian flag
          Storage Slip 14 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 14
          Chocobo Whistle |          0 |           Wardrobe 3 |                                                                                          |                                              chocobo whistle
               Vana'clock |          0 |               Safe 2 |                                                                                          |                                                   Vana'clock
            Kabuto-kazari |          0 |                 Safe |                                                                                          |                                                kabuto-kazari
               Nexus Cape |          0 |              Satchel |                                                                                          |                                                   nexus cape
        Carpenter's Apron |          0 |           Wardrobe 3 |                                                                                          |                                            carpenter's apron
                 Cupboard |          0 |                 Safe |                                                                                          |                                                     cupboard
          R. Bamboo Grass |          0 |                 Safe |                                                                                          |                                    sprig of red bamboo grass
          Taru Tot Toyset |          0 |                 Safe |                                                                                          |                                              Taru tot toyset
         Black VCS Plaque |          0 |                 Safe |                                                                                          |                                             black VCS plaque
          Storage Slip 06 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 06
            Katana-kazari |          0 |                 Safe |                                                                                          |                                                katana-kazari
          Cornelia Statue |          0 |                 Safe |                                                                                          |                                              Cornelia statue
         San d'Orian Tree |          0 |                 Safe |                                                                                          |                                     San d'Orian holiday tree
             Signal Pearl |          0 |           Wardrobe 2 |                                                                                          |                                                 signal pearl
                   Shihei |          0 |               Safe 2 |                                                                                          |                                                       shihei
        Dim. Ring (Holla) |          0 |           Wardrobe 2 |                                                                                          |                                     dimensional ring (Holla)
             Shinobi-Tabi |          0 |              Satchel |                                                                                          |                                                 shinobi-tabi
             Reraise Ring |          0 |           Wardrobe 2 |                                                                                          |                                                 reraise ring
         Carpenter's Sign |          0 |                 Safe |                                                                                          |                                        carpenter's signboard
          Carver's Torque |          0 |           Wardrobe 3 |                                                                                          |                                              carver's torque
            Bastokan Flag |          0 |                 Safe |                                                                                          |                                                Bastokan flag
          Inoshishinofuda |          0 |               Locker |                                                                                          |                                              inoshishinofuda
            Abdhaljs Seal |          0 |                 Sack |                                                                                          |                                                Abdhaljs seal
          Sanjaku-Tenugui |          0 |              Satchel |                                                                                          |                                              sanjaku-tenugui
                Warp Ring |          0 |           Wardrobe 2 |                                                                                          |                                                    warp ring
          Storage Slip 01 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 01
          Storage Slip 19 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 19
                  Bonbori |          0 |                 Safe |                                                                                          |                                                      bonbori
          Storage Slip 11 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 11
          Storage Slip 15 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 15
