closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
               Holy Water |          0 |           Case, Case |                                                                                          |                                          flask of holy water
               Silent Oil |          0 |                 Case |                                                                                          |                                            pot of silent oil
         Amini Earring +1 |          0 |           Wardrobe 4 |                                                                                          |                                             amini earring +1
              Alexandrite |          0 | Case, Case, Case, Case, Case, Case |                                                                                          |                                         piece of alexandrite
                   Gyudon |          0 |                 Case |                                                                                          |                                                       gyudon
             Rinda Shield |          0 |               Locker |                                                                                          |                                                 rinda shield
           Sticky Webbing |          0 |              Satchel |                                                                                          |                                               sticky webbing
               Venery Bow |          0 |                 Case |                                                                                          |                                                   venery bow
        Abs. Gauntlets +2 |          0 |               Safe 2 |                                                                                          |                                           abyss gauntlets +2
            Water Crystal |          0 |                 Safe |                                                                                          |                                                water crystal
              Tengu Shawl |          0 |           Wardrobe 3 |                                                                                          |                                                  tengu shawl
          Lustreless Hide |          0 |                 Case |                                                                                          |                                              lustreless hide
         S. Reraiser Tank |          0 |           Wardrobe 4 |                                                                                          |                                          super reraiser tank
             Morimar Ring |          0 |           Wardrobe 4 |                                                                                          |                                                 Morimar ring
           Osmium Cuisses |          0 |              Satchel |                                                                                          |                                               osmium cuisses
             Divinator II |          0 |           Wardrobe 3 |                                                                                          |                                                 divinator II
                 Solstice |          0 |               Locker |                                                                                          |                                                     solstice
            Amini Earring |          0 |                 Case |                                                                                          |                                                amini earring
        Ceramic Flowerpot |          0 |                 Safe |                                                                                          |                                            ceramic flowerpot
                Deathbane |          0 |               Safe 2 |                                                                                          |                                                    deathbane
         Plunderer's Vest |          0 |           Wardrobe 4 |                                                                                          |                                             plunderer's vest
                Izizoeksi |          0 |                 Safe |                                                                                          |                                                    Izizoeksi
            Poison Potion |          0 |                 Case |                                                                                          |                                       flask of poison potion
        Heath. Earring +1 |          0 |                 Safe |                                                                                          |                                         heathen's earring +1
              Vile Elixir |          0 |                 Case |                                                                                          |                                                  vile elixir
           Carpntr. Stall |          0 |                 Safe |                                                                                          |                                            Carpenters' stall
             Prism Powder |          0 |                 Case |                                                                                          |                                        pinch of prism powder
          Abs. Cuirass +2 |          0 |                 Safe |                                                                                          |                                             abyss cuirass +2
           Copper Voucher |          0 |                 Case |                                                                                          |                                      copper A.M.A.N. voucher
                   Remedy |          0 |     Case, Case, Case |                                                                                          |                                                       remedy
               Naga Tekko |          0 |               Locker |                                                                                          |                                                   naga tekko
      Ignominy Cuirass +2 |          0 |               Safe 2 |                                                                                          |                                          ignominy cuirass +2
                Gyudon +1 |          0 |                 Case |                                                                                          |                                                    gyudon +1
                   Colada |          0 |              Satchel |                                                                                          |                                                       Colada
         Ig. Gauntlets +2 |          0 |               Safe 2 |                                                                                          |                                        ignominy gauntlets +2
           Mubvum. Mantle |          0 |                 Safe |                                                                                          |                                          mubvumbamiri mantle
        Abs. Burgeonet +2 |          0 |               Safe 2 |                                                                                          |                                           abyss burgeonet +2
        Shobuhouou Kabuto |          0 |           Wardrobe 4 |                                                                                          |                                            shobuhouou kabuto
        Odyss. Chestplate |          0 |                 Sack |                                                                                          |                                          odyssean chestplate
         Ig. Burgeonet +2 |          0 |               Safe 2 |                                                                                          |                                        ignominy burgeonet +2
                Linkshell |          0 |                 Case |                                                                                          |                                                    linkshell
             Adapa Shield |          0 |                 Safe |                                                                                          |                                                 Adapa shield
        Moogle's Largesse |          0 |           Wardrobe 4 |                                                                                          |                                            moogle's largesse
             Agoge Lorica |          1 |                 Case | WAR                                                                                      |                                                 agoge lorica
         Nvrch. Bottes +2 |          1 |            NOT FOUND | COR                                                                                      |                                          navarch's bottes +2
             Cab. Coronet |          1 |            NOT FOUND | PLD                                                                                      |                                          caballarius coronet
           Cab. Gauntlets |          1 |            NOT FOUND | PLD                                                                                      |                                        caballarius gauntlets
